player_id,observed_proportional_log_lift,observed_additional_pageviews,scoring_appearances,baseline_views,baseline_visibility_z,player_name,team_name,position_code,observed_percent_change,proportional_rank,additive_rank,rank_difference,rank_displacement,absolute_rank_displacement
P-26942,4.163746590486464,30130.0,1,235.0,-0.1574909845622118,Mislav Oršić,Croatia,FW,6331.202260315122,47,82,35,35,35
P-33622,3.4698124160403365,16818.8064516129,1,187.0967741935484,-0.2627241201974201,Boulaye Dia,Senegal,FW,3113.0714672729027,69,104,35,35,35
P-35837,5.415834429424523,71684.2258064516,1,164.38709677419354,-0.3204306324339318,Mathew Leckie,Australia,FW,22394.01640822385,14,49,35,35,35
P-68131,4.9812925221804685,63027.83870967742,1,182.5806451612904,-0.2766245240740014,Haji Wright,United States,FW,14466.253208669732,25,59,34,34,34
P-98435,3.309742502809322,13696.516129032258,1,241.7419354838709,-0.1551681623069568,Strahinja Pavlović,Serbia,DF,2637.80747868326,74,108,34,34,34
P-05304,3.777071019300733,21182.1935483871,1,161.90322580645162,-0.2999101933618938,Ricardo Horta,Portugal,FW,4268.78931589807,62,95,33,33,33
P-50142,3.838938335321868,26263.25806451613,1,246.8709677419355,-0.1298912990550605,Mohammed Salisu,Ghana,DF,4547.610619783954,58,91,33,33,33
P-91029,6.178621287684446,101493.80645161292,1,91.09677419354838,-0.6605313674525731,Mitchell Duke,Australia,FW,48132.65082304189,6,38,32,32,32
P-49482,3.1469976854352666,13349.225806451614,1,327.38709677419354,0.0518131260174772,Henry Martín,Mexico,FW,2226.610744358283,78,109,31,31,31
P-29274,2.762988546008193,60543.795698924725,3,1629.9354838709678,1.1313020865643626,Álvaro Morata,Spain,FW,1484.7132133589944,91,61,-30,-30,30
P-31301,3.5039226429809016,103125.58064516127,1,1516.7096774193549,1.0583114645189335,Ferran Torres,Spain,MF,3224.560716318427,67,37,-30,-30,30
P-87169,6.836948820134472,127193.3870967742,1,67.80645161290323,-0.9012049355057604,Cho Gue-sung,South Korea,FW,93064.21857821086,2,32,30,30,30
P-42113,4.775509636154878,433830.4812903216,1,2584.1612903225805,1.411970184544235,Ángel Di María,Argentina,MF,11757.072715467812,30,1,-29,-29,29
P-85696,1.7279449304012546,29046.41935483871,2,2750.2903225806454,1.3873497090726126,Aleksandar Mitrović,Serbia,FW,462.90738750268696,114,85,-29,-29,29
P-39460,4.10542403435108,183210.16129032252,1,1429.4193548387098,1.0597720362466223,Xherdan Shaqiri,Switzerland,MF,5966.846460714698,49,21,-28,-28,28
P-93884,3.1315201338479843,69511.0,1,1644.0,1.0478736106040487,Ivan Perišić,Croatia,MF,2190.877749505323,79,51,-28,-28,28
P-68060,2.8866810976409454,10496.129032258064,1,440.9354838709677,0.092918112149232,Remo Freuler,Switzerland,MF,1693.369055349202,86,113,27,27,27
