scale,outcome,term,estimate,std_error,p_value,ci_low,ci_high,n,clusters,cluster,sample,match_fixed_effects,baseline_visibility_control,expected_save_center,shot_count_control
proportional,attention_log_lift_difference,goal_vs_save_at_mean_expected_save,1.7998044521094485,0.26663052558510697,1.4766028068699494e-11,1.2772086219626388,2.3224002822562584,303,64,match_id,single_shot_pairs_primary,1,1,0.689914945914623,0
proportional,attention_log_lift_difference,expected_save_gradient_among_saves,0.24066651191753569,0.5545417767276362,0.6642944898730343,-0.8462353704686312,1.3275683943037027,303,64,match_id,single_shot_pairs_primary,1,1,0.689914945914623,0
proportional,attention_log_lift_difference,expected_save_gradient_among_goals,0.7365659144250662,0.6034872283933086,0.22226926742101083,-0.44626905322581867,1.9194008820759512,303,64,match_id,single_shot_pairs_primary,1,1,0.689914945914623,0
additive,additional_pageview_difference,goal_vs_save_at_mean_expected_save,75871.37659124224,16390.533135119633,3.6747920745355317e-06,43745.93164640776,107996.82153607672,303,64,match_id,single_shot_pairs_primary,1,1,0.689914945914623,0
additive,additional_pageview_difference,expected_save_gradient_among_saves,23365.824730485787,31503.631447755917,0.45827717439184856,-38381.29290711581,85112.94236808739,303,64,match_id,single_shot_pairs_primary,1,1,0.689914945914623,0
additive,additional_pageview_difference,expected_save_gradient_among_goals,22365.090211111656,40688.297975125715,0.582546521679275,-57383.973820134735,102114.15424235805,303,64,match_id,single_shot_pairs_primary,1,1,0.689914945914623,0
