scale,outcome,term,estimate,std_error,p_value,ci_low,ci_high,n,clusters,cluster,sample,match_fixed_effects,baseline_visibility_control,expected_save_center,shot_count_control
proportional,attention_log_lift_difference,goal_share_at_mean_expected_save,1.7595092282932359,0.24725577166673962,1.1098328517383178e-12,1.2748879158264261,2.2441305407600454,386,64,match_id,all_pairs_goal_share_sensitivity,1,1,0.6757580382121109,1
proportional,attention_log_lift_difference,expected_save_gradient_at_zero_goal_share,-0.07951524797179553,0.47138609410332966,0.8660452778763207,-1.0034319924143216,0.8444014964707306,386,64,match_id,all_pairs_goal_share_sensitivity,1,1,0.6757580382121109,1
proportional,attention_log_lift_difference,expected_save_gradient_at_full_goal_share,0.8163921259913481,0.5688988753570092,0.15127595799484744,-0.2986496697083899,1.9314339216910863,386,64,match_id,all_pairs_goal_share_sensitivity,1,1,0.6757580382121109,1
additive,additional_pageview_difference,goal_share_at_mean_expected_save,85564.35069072292,16369.084419083507,1.7210355466615262e-07,53480.945229319244,117647.75615212659,386,64,match_id,all_pairs_goal_share_sensitivity,1,1,0.6757580382121109,1
additive,additional_pageview_difference,expected_save_gradient_at_zero_goal_share,-18400.97105284172,31864.101750971073,0.5636133469614439,-80854.61048474502,44052.66837906158,386,64,match_id,all_pairs_goal_share_sensitivity,1,1,0.6757580382121109,1
additive,additional_pageview_difference,expected_save_gradient_at_full_goal_share,9506.005010228684,39261.82280462975,0.8086885140798412,-67447.16768684564,86459.177707303,386,64,match_id,all_pairs_goal_share_sensitivity,1,1,0.6757580382121109,1
